brewer_name,address,city,district,rbid,active,founded,brewer_type,score,lat,lon,web,hours,description,phone
Fürstliches Brauhaus Ellingen,Schlossstrasse 19,Ellingen,Middle,8985,1,1753,Brewery,0,49.061767,10.965378,http://www.fuerst-carl.de,Tue-Sun 10.00-23.00; Mon closed,,9141 97860
Gambrinusbräu Unterhaid,Hauptstrasse 76,Oberhaid-Unterhaid,Upper,4791,1,2004,Brewery,0,49.936388,10.786645,http://www.franconianbeerguide.com,,,
Gampertbräu,Braustrasse 2-4,Weissenbrunn,Upper,457,1,1753,Brewery,0,50.20002,11.34621,http://www.gampertbraeu.de,,,9261 60330
Gänstaller Bräu,Schnaid 10,Hallerndorf,Upper,12331,1,2011,Brewery,0,49.77013,10.9486,http://www.gaenstaller.de,Call,,170 7964691
Gasthaus Brauerei Leuchtturm,Ansbacher Strasse 9,Gunzenhausen,Middle,1832,0,0,Brewery,0,49.12145,10.75201,http://www.leuchtturm-gunzenhausen.de,Wed-Mon: 11.00-23.00,,
Gasthausbrauerei Ambräusianum,Dominikanerstr. 10,Bamberg,Upper,4974,1,2004,Brewpub,0,49.892014,10.884743,http://www.ambraeusianum.de,,,9515 090262
Gasthausbrauerei Hufeisen,Hauptstrasse 36-38,Pottenstein,Upper,2579,1,1803,Brewpub,0,49.77112,11.41045,http://www.hufeisen-braeu.de,Tue-Sun 9.00-23.00; Mon closed,,9243 260
Gentner Bräu,Dr.-Johann-Baptist-Kurz-Platz 2,Wolframs-Eschenbach,Middle,5761,0,0,Brewery,0,49.225944,10.727813,http://www.gentner-braeu.de,closed 2005,,9875 97500
Gick-Bräu,Lichtenfelser Str. 17,Burgkunstadt,Upper,2578,0,0,Brewpub,0,50.142,11.24447,http://gick.brauereien.bierland-oberfranken.de,closed 2006,,
Gottsmannsgrüner Brauerei (Bischofshof),Von-Koch-Str. 2,Berg-Gottsmannsgrün,Upper,4422,1,1753,Brewery,0,50.385011,11.800521,http://www.gottsmannsgruener.com,,,9293 933010
Hans Müller Sommelierbier,Würzburger Str. 152,Aschaffenburg,Lower,16684,1,2013,Client Brewer,0,49.967304,9.166756,http://www.sommelierbier.de,,,6021 5808990
Hauf-Bräu Dentlein,Dinkelsbühler Strasse 5,Dentlein am Forst,Middle,6109,1,1753,Brewery,0,49.147466,10.422599,http://www.dentleiner.com,,,9855 9520
Hausbräu Stegaurach,Ruhlstrasse 6,Stegaurach,Upper,8102,1,2000,Brewery,0,49.86062,10.8552,http://www.hausbraeu-stegaurach.de,,,9512 99709
Hausbrauerei Altstadthof,Bergstrasse 19/21,Nürnberg,Middle,2437,1,1984,Brewpub,0,49.456976,11.074863,http://www.altstadthof.de,Mon-Fri 11.00-1.00,,911 227217
Hausbrauerei Düll Gnodstadt,Pfarrer-Geyer-Str. 1,Marktbreit-Gnodstadt,Lower,8338,1,2007,Brewery,0,49.637435,10.12048,http://www.duell-gnodstadt.de,Mon; Tue; Thu & Fri 11.30-14.00 & 17.00-22.00; Sat & Sun 11.30-22.00;  Wed closed,,9332 8663
Hausbrauerei Höpfl,Neubaustrasse 6,Steinfeld-Waldzell,Lower,9490,1,2007,Brewery,0,49.944349,9.628727,http://www.hausbrauerei-hoepfl.de,,,9396 1532
Hausbrauerei Kohlenmühle,Bamberger Strasse 53,Neustadt an der Aisch,Middle,8109,1,2006,Brewpub,0,49.58411,10.61476,http://www.kohlenmuehle.de,Mon 17.00-23.00; Tue-Fri 11.00-23.00; Sat 11.00-24.00; Sun 10.00-23.00; Closed winter,,9161 662270
Hausbrauerei Pfarrbräu,Am Dorfplatz 8,Karlstadt-Stadelhofen,Lower,13396,1,2010,Brewery,0,49.93281,9.70744,http://www.pfarrbraeu.de/index.html,Call,,9396 995956
Hausbrauerei Reichert (Metzgerbräu),Stublanger Strasse 2,Bad Staffelstein-Uetzing,Upper,9529,1,2004,Brewery,0,50.08599,11.06799,http://www.bierdeckelsammler.net/deu_brauerei_show_5826.htm,Mon-Fri 6.30-12.15 & 14.00-18.00; Sat 6.30-13.00; Sun closed,,9573 6304
Hausbrauerei Schobert,Saarbrückener Strasse 2,Zirndorf,Middle,13810,1,2011,Brewery,0,49.444738,10.961012,http://de-de.facebook.com/pages/Hausbrauerei-Schober/303644902999772,,,911 604658
Hechtbräu Zimmern,Zimmern 59,Pappenheim,Middle,13684,1,2011,Brewery,0,48.92698,10.98369,http://www.hechtbraeu-zimmern.de,Wed 16.00-19.00; Thu 16.00-19.00; Fri 15.00-18.00; Sat 10.00-13.00,,9143 212539
Heidecker Lindwurmbräu,Hauptstrasse 18,Heideck,Middle,2455,1,2002,Brewpub,0,49.131795,11.125575,http://www.heidecker-lindwurmbraeu.de,May-September. Mon-Tue: from 17.00;Thu-Sat from 11.00; Sun from 10.00; Wed closed,,9177 4856633
Held Bräu Oberailsfeld,Oberailsfeld 19,Ahorntal-Oberailsfeld,Upper,4268,1,1753,Brewery,0,49.81246,11.353616,http://www.held-braeu.de,Thu-Tue 10.00-23.00; Wed closed,,9242 295
Hochholzer Brauhaus,Hochholz 4a,Solnhofen,Middle,12013,1,2010,Brewery,0,48.90076,11.02949,http://www.hochholzer-brauhaus.de,,,9145 837237
Hohe-Wart-Bräu,Gabelsbergerstr. 9,Aschaffenburg,Lower,10118,1,2008,Brewpub,0,49.96997,9.14883,http://www.hohewart-haus.de,Daily 10.00-22.00,,602 33980
